FILE_VERSION	2.0.0
NO_OF_FRAMES	505
NO_OF_CAMERAS	8
NO_OF_MARKERS	39
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-05-13, 16:19:30.039	10554.92890750
DATA_INCLUDED	3D
MARKER_NAMES	Q_HeadL	Q_HeadR	Q_HeadFront	Q_Chest	Q_SpineThoracic2	Q_SpineThoracic12	Q_LShoulderTop	Q_LArm	Q_LElbowOut	Q_LElbowIn	Q_LWristIn	Q_LWristOut	Q_LHand2	Q_RShoulderTop	Q_RArm	Q_RElbowOut	Q_RElbowIn	Q_RWristIn	Q_RWristOut	Q_RHand2	Q_WaistLFront	Q_WaistL	Q_WaistBack	Q_WaistR	Q_WaistRFront	Q_LThighFrontLow	Q_LKneeOut	Q_LShinFrontHigh	Q_LAnkleOut	Q_LHeelBack	Q_LForefoot2	Q_LForefoot5	Q_RThighFrontLow	Q_RKneeOut	Q_RShinFrontHigh	Q_RAnkleOut	Q_RHeelBack	Q_RForefoot2	Q_RForefoot5
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed
Frame	Time	Q_HeadL X	Q_HeadL Y	Q_HeadL Z	Q_HeadR X	Q_HeadR Y	Q_HeadR Z	Q_HeadFront X	Q_HeadFront Y	Q_HeadFront Z	Q_Chest X	Q_Chest Y	Q_Chest Z	Q_SpineThoracic2 X	Q_SpineThoracic2 Y	Q_SpineThoracic2 Z	Q_SpineThoracic12 X	Q_SpineThoracic12 Y	Q_SpineThoracic12 Z	Q_LShoulderTop X	Q_LShoulderTop Y	Q_LShoulderTop Z	Q_LArm X	Q_LArm Y	Q_LArm Z	Q_LElbowOut X	Q_LElbowOut Y	Q_LElbowOut Z	Q_LElbowIn X	Q_LElbowIn Y	Q_LElbowIn Z	Q_LWristIn X	Q_LWristIn Y	Q_LWristIn Z	Q_LWristOut X	Q_LWristOut Y	Q_LWristOut Z	Q_LHand2 X	Q_LHand2 Y	Q_LHand2 Z	Q_RShoulderTop X	Q_RShoulderTop Y	Q_RShoulderTop Z	Q_RArm X	Q_RArm Y	Q_RArm Z	Q_RElbowOut X	Q_RElbowOut Y	Q_RElbowOut Z	Q_RElbowIn X	Q_RElbowIn Y	Q_RElbowIn Z	Q_RWristIn X	Q_RWristIn Y	Q_RWristIn Z	Q_RWristOut X	Q_RWristOut Y	Q_RWristOut Z	Q_RHand2 X	Q_RHand2 Y	Q_RHand2 Z	Q_WaistLFront X	Q_WaistLFront Y	Q_WaistLFront Z	Q_WaistL X	Q_WaistL Y	Q_WaistL Z	Q_WaistBack X	Q_WaistBack Y	Q_WaistBack Z	Q_WaistR X	Q_WaistR Y	Q_WaistR Z	Q_WaistRFront X	Q_WaistRFront Y	Q_WaistRFront Z	Q_LThighFrontLow X	Q_LThighFrontLow Y	Q_LThighFrontLow Z	Q_LKneeOut X	Q_LKneeOut Y	Q_LKneeOut Z	Q_LShinFrontHigh X	Q_LShinFrontHigh Y	Q_LShinFrontHigh Z	Q_LAnkleOut X	Q_LAnkleOut Y	Q_LAnkleOut Z	Q_LHeelBack X	Q_LHeelBack Y	Q_LHeelBack Z	Q_LForefoot2 X	Q_LForefoot2 Y	Q_LForefoot2 Z	Q_LForefoot5 X	Q_LForefoot5 Y	Q_LForefoot5 Z	Q_RThighFrontLow X	Q_RThighFrontLow Y	Q_RThighFrontLow Z	Q_RKneeOut X	Q_RKneeOut Y	Q_RKneeOut Z	Q_RShinFrontHigh X	Q_RShinFrontHigh Y	Q_RShinFrontHigh Z	Q_RAnkleOut X	Q_RAnkleOut Y	Q_RAnkleOut Z	Q_RHeelBack X	Q_RHeelBack Y	Q_RHeelBack Z	Q_RForefoot2 X	Q_RForefoot2 Y	Q_RForefoot2 Z	Q_RForefoot5 X	Q_RForefoot5 Y	Q_RForefoot5 Z	
584	1.94333	-180.592	-125.712	1729.378	-54.935	-59.874	1694.500	-162.838	40.943	1722.957	-157.526	-74.535	1436.721	-310.099	-34.516	1580.588	-349.201	-36.723	1197.501	-168.274	137.914	1518.627	-253.360	210.535	1300.381	-149.836	213.621	1240.499	-192.545	128.571	1202.778	-27.892	4.518	1275.296	10.342	19.702	1212.667	72.053	-27.366	1310.400	-342.635	-214.743	1542.278	-429.758	-251.460	1295.723	-356.637	-311.814	1271.731	-343.753	-218.918	1204.691	-124.487	-278.754	1308.590	-110.215	-315.586	1242.099	-51.731	-311.643	1341.389	-96.320	-24.998	1057.041	-115.611	43.167	1060.080	-328.152	-6.903	1091.460	-308.505	-224.763	1071.150	-233.165	-218.705	1050.177	-90.691	5.735	608.519	-107.431	56.346	528.000	-121.807	42.119	412.240	-155.171	84.670	95.188	-214.960	49.207	49.096	-5.782	-1.446	34.822	-20.211	49.169	33.146	-319.190	-227.900	609.457	-375.024	-219.037	530.096	-416.091	-169.167	412.299	-575.645	-72.346	156.181	-577.581	6.122	129.237	-497.745	-147.952	29.768	-546.377	-140.816	33.976
585	1.94667	-180.741	-125.934	1729.548	-55.021	-60.074	1694.662	-162.871	40.766	1723.077	-157.556	-74.690	1436.858	-310.090	-34.497	1580.658	-349.067	-36.588	1197.623	-168.016	137.724	1518.758	-252.781	210.699	1300.558	-149.234	213.663	1240.763	-192.211	128.880	1203.253	-27.600	4.336	1275.427	11.022	19.924	1212.857	72.156	-27.838	1310.604	-342.868	-214.627	1542.320	-430.070	-251.196	1295.771	-357.107	-311.652	1271.811	-343.978	-218.822	1204.709	-124.860	-279.081	1308.636	-110.685	-316.060	1242.196	-52.203	-312.132	1341.472	-96.280	-25.147	1057.109	-115.484	43.053	1060.150	-328.062	-6.721	1091.665	-308.703	-224.680	1071.243	-233.348	-218.741	1050.275	-90.401	5.636	608.623	-107.107	56.255	528.058	-121.549	41.959	412.254	-155.163	84.670	95.201	-214.975	49.249	49.107	-5.830	-1.436	34.838	-20.273	49.176	33.165	-319.132	-228.132	609.818	-374.978	-219.302	530.278	-415.969	-169.520	412.503	-575.683	-72.603	156.243	-577.759	5.895	129.298	-497.706	-147.984	29.795	-546.398	-140.951	34.049
586	1.95000	-180.927	-126.148	1729.734	-55.131	-60.345	1694.858	-162.914	40.587	1723.205	-157.604	-74.928	1436.947	-310.079	-34.448	1580.759	-348.980	-36.464	1197.795	-167.754	137.544	1518.894	-252.210	210.820	1300.713	-148.624	213.726	1241.049	-191.794	129.119	1203.614	-27.362	4.102	1275.545	11.399	19.746	1213.072	72.290	-28.343	1310.815	-343.136	-214.537	1542.347	-430.487	-250.809	1295.884	-357.627	-311.469	1271.895	-344.203	-218.727	1204.775	-125.269	-279.399	1308.694	-110.340	-315.333	1241.944	-52.708	-312.608	1341.579	-96.261	-25.266	1057.144	-115.388	42.957	1060.190	-327.963	-6.533	1091.892	-308.932	-224.574	1071.364	-233.592	-218.750	1050.371	-90.123	5.480	608.710	-106.775	56.059	528.067	-121.277	41.811	412.248	-155.162	84.621	95.216	-215.026	49.255	49.164	-5.909	-1.413	34.899	-20.338	49.198	33.246	-319.225	-228.133	609.998	-374.942	-219.415	530.392	-415.964	-169.725	412.578	-575.754	-72.870	156.349	-577.913	5.702	129.479	-497.731	-148.042	29.831	-546.433	-141.082	34.120
587	1.95333	-181.108	-126.305	1729.870	-55.252	-60.590	1695.020	-162.942	40.451	1723.343	-157.648	-75.118	1437.054	-310.080	-34.428	1580.850	-348.860	-36.245	1197.957	-167.462	137.350	1519.067	-251.539	210.830	1301.086	-147.859	214.313	1241.407	-191.387	129.327	1203.805	-27.008	3.947	1275.660	11.778	19.488	1213.271	72.461	-28.872	1311.042	-343.418	-214.398	1542.373	-430.882	-250.468	1295.936	-358.091	-311.353	1271.979	-344.506	-218.566	1204.837	-125.699	-279.796	1308.751	-111.004	-315.919	1242.083	-53.256	-313.121	1341.662	-96.207	-25.462	1057.205	-115.240	42.816	1060.231	-327.883	-6.336	1092.098	-309.167	-224.434	1071.480	-233.835	-218.734	1050.367	-89.835	5.345	608.770	-106.396	55.882	528.108	-121.005	41.617	412.234	-155.177	84.589	95.256	-215.073	49.248	49.164	-5.959	-1.395	34.923	-20.382	49.211	33.267	-319.308	-228.113	610.068	-374.930	-219.595	530.480	-415.868	-169.913	412.669	-575.883	-73.127	156.344	-578.199	5.451	129.542	-497.753	-148.082	29.849	-546.496	-141.231	34.154
588	1.95667	-181.283	-126.536	1730.004	-55.373	-60.835	1695.162	-162.994	40.263	1723.454	-157.678	-75.298	1437.126	-310.125	-34.385	1580.916	-348.742	-36.054	1198.080	-167.122	137.133	1519.219	-250.942	210.957	1301.148	-147.048	214.271	1241.665	-190.929	129.598	1204.122	-26.720	3.635	1275.762	12.196	19.236	1213.464	72.661	-29.442	1311.245	-343.687	-214.269	1542.359	-431.274	-250.132	1295.941	-358.516	-311.212	1271.997	-344.792	-218.416	1204.871	-126.117	-280.171	1308.790	-111.395	-316.224	1242.055	-53.774	-313.615	1341.690	-96.134	-25.615	1057.237	-115.060	42.664	1060.280	-327.780	-6.186	1092.202	-309.360	-224.280	1071.516	-234.055	-218.702	1050.346	-89.505	5.165	608.808	-106.007	55.669	528.138	-120.718	41.443	412.158	-155.189	84.537	95.256	-215.118	49.248	49.148	-5.987	-1.411	34.910	-20.430	49.191	33.272	-319.335	-228.042	610.079	-374.886	-219.652	530.441	-415.842	-169.951	412.490	-575.960	-73.425	156.345	-578.438	5.144	129.649	-497.754	-148.154	29.800	-546.516	-141.335	34.104
589	1.96000	-181.412	-126.661	1730.093	-55.465	-61.086	1695.346	-163.055	40.098	1723.602	-157.684	-75.465	1437.192	-310.101	-34.345	1581.002	-348.585	-35.864	1198.070	-166.760	136.923	1519.369	-250.229	210.981	1301.333	-146.179	214.289	1241.889	-190.347	129.794	1204.482	-26.262	3.470	1275.888	12.626	18.972	1213.682	72.895	-29.999	1311.475	-343.961	-214.108	1542.321	-431.626	-249.744	1295.941	-359.020	-310.985	1271.955	-345.096	-218.257	1204.907	-126.639	-280.638	1308.773	-111.854	-316.545	1242.032	-54.371	-314.144	1341.730	-96.027	-25.823	1057.287	-114.879	42.503	1060.290	-327.679	-6.017	1092.282	-309.572	-224.141	1071.536	-234.273	-218.628	1050.290	-89.123	5.016	608.867	-105.535	55.457	528.161	-120.365	41.257	412.132	-155.178	84.491	95.290	-215.110	49.216	49.120	-5.985	-1.463	34.853	-20.423	49.164	33.229	-319.317	-228.103	610.094	-374.813	-219.723	530.411	-415.728	-170.063	412.434	-575.986	-73.725	156.338	-578.673	4.821	129.721	-497.764	-148.218	29.751	-546.484	-141.494	34.057
590	1.96333	-181.527	-126.669	1730.204	-55.517	-61.221	1695.515	-163.093	39.935	1723.700	-157.674	-75.642	1437.309	-310.071	-34.279	1581.103	-348.375	-35.649	1198.054	-166.384	136.751	1519.516	-249.436	211.152	1301.438	-145.308	214.202	1242.211	-189.720	130.058	1204.716	-25.840	3.249	1276.034	13.208	18.818	1213.932	73.142	-30.577	1311.738	-344.248	-213.944	1542.307	-432.036	-249.332	1295.959	-359.664	-310.661	1271.932	-345.441	-218.077	1204.897	-127.127	-281.043	1308.811	-112.535	-317.207	1242.219	-54.987	-314.788	1341.820	-95.945	-25.984	1057.306	-114.665	42.348	1060.347	-327.492	-5.880	1092.357	-309.744	-224.021	1071.609	-234.452	-218.647	1050.316	-88.751	4.854	608.932	-105.131	55.258	528.156	-120.003	41.105	412.124	-155.163	84.489	95.321	-215.108	49.213	49.114	-6.003	-1.474	34.838	-20.443	49.112	33.191	-319.326	-228.087	610.143	-374.732	-219.886	530.525	-415.601	-170.270	412.454	-576.015	-74.054	156.345	-578.863	4.526	129.830	-497.674	-148.270	29.741	-546.467	-141.585	34.008
591	1.96667	-181.659	-126.795	1730.380	-55.628	-61.494	1695.735	-163.121	39.791	1723.849	-157.697	-75.819	1437.453	-310.046	-34.183	1581.222	-348.220	-35.464	1198.230	-166.036	136.544	1519.682	-248.619	211.300	1301.652	-144.411	214.274	1242.564	-189.314	130.429	1205.062	-25.414	3.039	1276.195	13.798	18.663	1214.246	73.419	-31.116	1312.024	-344.571	-213.751	1542.359	-432.483	-248.846	1296.012	-360.359	-310.356	1271.992	-345.761	-217.908	1204.887	-127.629	-281.479	1308.896	-113.091	-317.690	1242.303	-55.607	-315.371	1341.958	-95.858	-26.188	1057.389	-114.499	42.208	1060.394	-327.393	-5.664	1092.533	-309.963	-223.871	1071.742	-234.643	-218.683	1050.433	-88.348	4.676	609.065	-104.692	55.055	528.197	-119.641	40.885	412.147	-155.140	84.433	95.362	-215.122	49.206	49.155	-6.057	-1.470	34.837	-20.486	49.144	33.244	-319.375	-228.144	610.285	-374.698	-220.100	530.694	-415.552	-170.500	412.583	-576.052	-74.360	156.447	-579.030	4.227	129.950	-497.654	-148.316	29.743	-546.457	-141.784	34.088
592	1.97000	-181.808	-126.874	1730.564	-55.760	-61.701	1695.889	-163.169	39.656	1723.957	-157.718	-76.042	1437.614	-310.028	-34.101	1581.322	-348.125	-35.294	1198.518	-165.674	136.334	1519.868	-247.816	211.502	1301.789	-143.502	214.321	1242.949	-188.695	130.690	1205.354	-24.936	2.806	1276.371	14.446	18.534	1214.531	73.708	-31.694	1312.335	-344.909	-213.534	1542.382	-432.952	-248.421	1296.148	-361.004	-310.158	1272.134	-346.173	-217.703	1204.922	-128.192	-281.922	1308.961	-113.697	-318.167	1242.392	-56.307	-316.008	1342.127	-95.798	-26.361	1057.455	-114.323	42.077	1060.445	-327.252	-5.541	1092.635	-310.227	-223.733	1071.906	-234.898	-218.701	1050.549	-87.984	4.476	609.169	-104.289	54.840	528.239	-119.297	40.702	412.131	-155.130	84.404	95.396	-215.169	49.222	49.205	-6.110	-1.449	34.907	-20.551	49.157	33.323	-319.456	-228.185	610.482	-374.708	-220.233	530.857	-415.470	-170.776	412.809	-576.142	-74.677	156.569	-579.251	3.990	130.113	-497.667	-148.365	29.789	-546.518	-141.891	34.152
593	1.97333	-182.003	-127.059	1730.751	-55.884	-61.958	1696.100	-163.201	39.511	1724.119	-157.734	-76.260	1437.729	-310.018	-34.009	1581.427	-348.024	-35.109	1198.662	-165.273	136.072	1520.056	-246.941	211.694	1301.953	-142.563	214.402	1243.314	-187.895	130.766	1205.690	-24.416	2.600	1276.541	14.670	17.981	1215.009	74.037	-32.275	1312.669	-345.301	-213.320	1542.398	-433.598	-248.284	1296.695	-361.619	-309.887	1272.194	-346.573	-217.465	1204.947	-128.801	-282.415	1309.031	-114.491	-318.766	1242.462	-57.013	-316.710	1342.218	-95.699	-26.563	1057.493	-114.117	41.899	1060.497	-327.178	-5.332	1092.791	-310.440	-223.607	1072.006	-235.150	-218.686	1050.598	-87.615	4.242	609.250	-103.775	54.624	528.335	-118.950	40.456	412.095	-155.138	84.347	95.431	-215.223	49.193	49.233	-6.158	-1.446	34.926	-20.606	49.159	33.370	-319.510	-228.171	610.612	-374.632	-220.375	531.052	-415.449	-170.894	412.840	-576.236	-74.978	156.640	-579.503	3.693	130.259	-497.689	-148.415	29.811	-546.554	-142.040	34.199
