Frame	Time	handball_6 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
2032	6.77000	366.14582	92.95205	1280.33016	-17.87557	-44.57097	178.72214	2.41910	-0.71220	-0.19414	-0.67459	-0.01589	-0.95629	0.29198	-0.70179	0.21867	0.67799	
2033	6.77333	366.37788	92.65783	1279.84439	-17.99501	-44.52364	178.61684	2.43032	-0.71275	-0.19360	-0.67417	-0.01721	-0.95604	0.29275	-0.70120	0.22026	0.67809	
2034	6.77667	366.60932	92.34153	1279.38599	-18.10869	-44.47410	178.52995	2.42995	-0.71333	-0.19330	-0.67364	-0.01831	-0.95574	0.29364	-0.70059	0.22179	0.67822	
2035	6.78000	366.82709	92.07038	1278.92615	-18.25986	-44.41435	178.41469	2.41926	-0.71402	-0.19292	-0.67302	-0.01976	-0.95535	0.29482	-0.69984	0.22381	0.67833	
2036	6.78333	367.03577	91.78725	1278.46807	-18.44279	-44.37160	178.30127	2.43848	-0.71451	-0.19301	-0.67248	-0.02119	-0.95478	0.29655	-0.69931	0.22614	0.67811	
2037	6.78667	367.21939	91.53670	1278.00137	-18.61344	-44.31291	178.18944	2.42873	-0.71518	-0.19292	-0.67179	-0.02261	-0.95427	0.29811	-0.69858	0.22839	0.67811	
2038	6.79000	367.41227	91.29847	1277.52566	-18.85729	-44.25351	178.03136	2.42095	-0.71584	-0.19291	-0.67109	-0.02461	-0.95352	0.30034	-0.69783	0.23150	0.67782	
2039	6.79333	367.67154	90.99265	1277.03132	-19.11551	-44.23561	177.89487	2.40296	-0.71599	-0.19359	-0.67073	-0.02632	-0.95261	0.30304	-0.69761	0.23463	0.67697	
2040	6.79667	367.92802	90.69112	1276.54585	-19.41733	-44.21704	177.73291	2.38073	-0.71614	-0.19435	-0.67035	-0.02835	-0.95156	0.30617	-0.69738	0.23827	0.67594	
2041	6.80000	368.19314	90.40520	1276.08384	-19.74563	-44.19918	177.55832	2.35584	-0.71627	-0.19522	-0.66996	-0.03054	-0.95038	0.30958	-0.69715	0.24221	0.67477	
2042	6.80333	368.38745	90.16290	1275.61346	-20.09975	-44.17264	177.33865	2.35323	-0.71647	-0.19560	-0.66963	-0.03330	-0.94920	0.31290	-0.69682	0.24648	0.67356	
2043	6.80667	368.56417	89.93854	1275.09172	-20.49040	-44.20859	177.10130	2.36427	-0.71589	-0.19640	-0.67002	-0.03625	-0.94788	0.31657	-0.69727	0.25092	0.67145	
2044	6.81000	368.79076	89.69256	1274.59846	-20.88273	-44.23569	176.85324	2.35209	-0.71540	-0.19701	-0.67037	-0.03933	-0.94655	0.32014	-0.69761	0.25539	0.66941	
2045	6.81333	369.06330	89.47792	1274.07563	-21.32383	-44.30062	176.55669	2.33450	-0.71439	-0.19757	-0.67128	-0.04298	-0.94511	0.32391	-0.69842	0.26025	0.66669	
2046	6.81667	369.33105	89.23383	1273.52677	-21.78350	-44.40551	176.25046	2.33562	-0.71288	-0.19839	-0.67264	-0.04672	-0.94359	0.32781	-0.69973	0.26512	0.66339	
2047	6.82000	369.62520	89.04436	1273.01958	-22.25887	-44.50293	175.90793	2.31796	-0.71140	-0.19879	-0.67409	-0.05089	-0.94207	0.33153	-0.70095	0.27016	0.66007	
2048	6.82333	369.90035	88.91056	1272.54474	-22.76700	-44.59514	175.53059	2.32123	-0.70992	-0.19902	-0.67558	-0.05549	-0.94045	0.33536	-0.70209	0.27557	0.65660	
2049	6.82667	370.08482	88.72663	1272.01262	-23.25051	-44.72684	175.19415	2.30941	-0.70797	-0.19985	-0.67738	-0.05952	-0.93883	0.33919	-0.70373	0.28046	0.65277	
2050	6.83000	370.32619	88.59726	1271.47295	-23.73310	-44.82224	174.82635	2.29997	-0.70641	-0.20001	-0.67896	-0.06396	-0.93728	0.34265	-0.70491	0.28548	0.64931	
2051	6.83333	370.61255	88.43767	1270.92709	-24.23290	-44.97389	174.45409	2.26095	-0.70412	-0.20061	-0.68116	-0.06837	-0.93565	0.34624	-0.70678	0.29036	0.64509	
2052	6.83667	370.89820	88.33881	1270.34063	-24.74818	-45.10171	174.05858	2.25555	-0.70206	-0.20094	-0.68318	-0.07306	-0.93397	0.34979	-0.70836	0.29549	0.64102	
2053	6.84000	371.19472	88.24501	1269.80803	-25.24573	-45.19820	173.65962	2.22285	-0.70035	-0.20089	-0.68495	-0.07782	-0.93237	0.35302	-0.70955	0.30054	0.63735	
2054	6.84333	371.44409	88.17530	1269.21725	-25.73908	-45.32917	173.29732	2.22412	-0.69823	-0.20159	-0.68691	-0.08206	-0.93067	0.35654	-0.71116	0.30531	0.63328	
2055	6.84667	371.66730	88.14478	1268.60296	-26.23780	-45.42049	172.89742	2.20987	-0.69651	-0.20157	-0.68865	-0.08679	-0.92902	0.35971	-0.71228	0.31031	0.62958	
2056	6.85000	371.93140	88.11205	1267.92907	-26.71505	-45.57151	172.52393	2.20115	-0.69407	-0.20209	-0.69096	-0.09108	-0.92743	0.36273	-0.71412	0.31470	0.62529	
2057	6.85333	372.27629	88.14186	1267.21169	-27.17567	-45.67269	172.12775	2.20891	-0.69217	-0.20179	-0.69295	-0.09571	-0.92598	0.36525	-0.71536	0.31914	0.62162	
2058	6.85667	372.65145	88.15697	1266.51453	-27.64712	-45.76393	171.73775	2.16044	-0.69038	-0.20171	-0.69476	-0.10025	-0.92440	0.36800	-0.71647	0.32371	0.61796	
2059	6.86000	373.00098	88.26285	1265.73846	-28.17050	-45.87170	171.29250	2.14562	-0.68824	-0.20150	-0.69694	-0.10541	-0.92269	0.37086	-0.71778	0.32871	0.61379	
2060	6.86333	373.35396	88.37527	1264.95433	-28.67497	-45.95509	170.86148	2.07774	-0.68640	-0.20119	-0.69884	-0.11042	-0.92100	0.37359	-0.71880	0.33360	0.60996	
2061	6.86667	373.70467	88.47572	1264.07345	-29.19401	-46.04425	170.44571	2.05012	-0.68447	-0.20136	-0.70068	-0.11521	-0.91915	0.37669	-0.71988	0.33856	0.60593	
2062	6.87000	374.15891	88.60951	1263.19835	-29.69613	-46.06567	170.05231	1.97940	-0.68340	-0.20133	-0.70173	-0.11986	-0.91723	0.37989	-0.72014	0.34373	0.60271	
2063	6.87333	374.63775	88.73667	1262.20183	-30.21906	-46.13460	169.68141	1.96838	-0.68176	-0.20222	-0.70307	-0.12413	-0.91513	0.38358	-0.72097	0.34878	0.59880	
2064	6.87667	375.18802	88.85677	1261.17369	-30.68859	-46.20738	169.36894	1.94448	-0.68017	-0.20344	-0.70426	-0.12767	-0.91316	0.38709	-0.72185	0.35320	0.59513	
