Frame	Time	handball_6 - 1 X	handball_6 - 1 Y	handball_6 - 1 Z	handball_6 - 2 X	handball_6 - 2 Y	handball_6 - 2 Z	handball_6 - 3 X	handball_6 - 3 Y	handball_6 - 3 Z	handball_6 - 4 X	handball_6 - 4 Y	handball_6 - 4 Z	handball_6 - 5 X	handball_6 - 5 Y	handball_6 - 5 Z	handball_6 - 6 X	handball_6 - 6 Y	handball_6 - 6 Z	
2032	6.77000	291.614	44.680	1255.563	451.857	163.258	1299.220	292.092	152.889	1342.749	344.498	100.849	1178.559	388.619	52.901	1360.069	428.195	43.135	1245.821
2033	6.77333	291.812	44.472	1255.177	452.185	162.848	1298.662	292.474	152.751	1342.189	344.693	100.519	1178.053	388.819	52.605	1359.651	428.285	42.752	1245.334
2034	6.77667	292.019	44.214	1254.764	452.522	162.421	1298.079	292.799	152.625	1341.716	344.861	100.139	1177.599	389.050	52.299	1359.261	428.406	42.352	1244.897
2035	6.78000	292.132	44.080	1254.401	452.854	162.048	1297.484	293.158	152.555	1341.190	344.971	99.794	1177.122	389.263	52.040	1358.853	428.586	41.905	1244.508
2036	6.78333	292.287	43.800	1254.090	453.150	161.665	1296.881	293.523	152.537	1340.646	345.152	99.419	1176.580	389.398	51.843	1358.457	428.704	41.460	1244.154
2037	6.78667	292.397	43.680	1253.739	453.443	161.284	1296.253	293.926	152.443	1340.015	345.263	99.009	1176.174	389.541	51.651	1358.083	428.747	41.153	1243.744
2038	6.79000	292.507	43.549	1253.357	453.786	160.879	1295.587	294.287	152.556	1339.431	345.390	98.552	1175.674	389.687	51.508	1357.716	428.817	40.747	1243.388
2039	6.79333	292.773	43.286	1253.019	454.155	160.466	1294.935	294.587	152.636	1338.688	345.639	98.015	1175.201	389.865	51.323	1357.303	429.011	40.231	1243.041
2040	6.79667	292.949	43.077	1252.664	454.523	160.075	1294.221	294.932	152.720	1337.938	345.878	97.470	1174.706	390.020	51.164	1356.941	429.266	39.641	1242.805
2041	6.80000	293.172	42.865	1252.354	454.885	159.677	1293.534	295.336	152.870	1337.195	346.201	96.838	1174.285	390.103	51.053	1356.647	429.462	39.129	1242.487
2042	6.80333	293.241	42.712	1252.054	455.192	159.251	1292.858	295.776	153.056	1336.388	346.420	96.350	1173.765	390.119	50.960	1356.345	429.577	38.648	1242.270
2043	6.80667	293.309	42.618	1251.682	455.529	158.863	1292.224	296.042	153.203	1335.369	346.803	95.779	1173.181	390.101	50.931	1356.052	429.601	38.238	1242.043
2044	6.81000	293.449	42.454	1251.240	455.883	158.440	1291.597	296.435	153.400	1334.486	347.182	95.198	1172.675	390.061	50.903	1355.725	429.735	37.760	1241.867
2045	6.81333	293.584	42.399	1250.727	456.287	158.055	1290.960	296.798	153.642	1333.553	347.774	94.597	1172.102	390.000	50.917	1355.387	429.936	37.258	1241.724
2046	6.81667	293.717	42.365	1250.246	456.710	157.662	1290.369	297.046	153.765	1332.396	348.401	94.007	1171.470	389.938	50.910	1355.062	430.175	36.693	1241.616
2047	6.82000	293.889	42.254	1249.651	457.098	157.279	1289.806	297.506	154.066	1331.373	349.018	93.541	1170.942	389.779	50.965	1354.772	430.460	36.161	1241.573
2048	6.82333	294.056	42.301	1249.204	457.505	156.912	1289.336	297.904	154.485	1330.445	349.752	92.958	1170.317	389.577	51.051	1354.474	430.609	35.755	1241.493
2049	6.82667	294.096	42.114	1248.582	457.860	156.519	1288.840	298.136	154.772	1329.220	350.366	92.435	1169.848	389.353	51.124	1354.198	430.699	35.396	1241.387
2050	6.83000	294.201	42.161	1247.950	458.265	156.166	1288.348	298.465	155.143	1328.185	350.992	91.904	1169.231	389.190	51.204	1353.900	430.844	35.005	1241.223
2051	6.83333	294.388	42.209	1247.277	458.708	155.785	1287.898	298.682	155.410	1326.975	351.714	91.359	1168.745	389.005	51.325	1353.558	431.178	34.537	1241.110
2052	6.83667	294.577	42.234	1246.569	459.123	155.455	1287.441	299.048	155.856	1325.879	352.420	90.850	1168.024	388.788	51.502	1353.135	431.433	34.136	1240.997
2053	6.84000	294.819	42.235	1245.916	459.573	155.116	1286.987	299.455	156.363	1324.833	353.052	90.446	1167.509	388.580	51.601	1352.729	431.689	33.709	1240.874
2054	6.84333	294.966	42.169	1245.286	459.957	154.859	1286.500	299.739	156.805	1323.557	353.719	90.096	1166.900	388.370	51.756	1352.353	431.914	33.367	1240.708
2055	6.84667	295.060	42.297	1244.518	460.347	154.566	1286.021	300.097	157.310	1322.422	354.205	89.710	1166.182	388.159	51.942	1351.926	432.136	33.044	1240.548
2056	6.85000	295.273	42.355	1243.755	460.728	154.284	1285.475	300.300	157.683	1321.060	354.977	89.426	1165.566	387.963	52.154	1351.417	432.346	32.770	1240.301
2057	6.85333	295.542	42.483	1242.841	461.227	154.081	1284.920	300.742	158.218	1319.928	355.701	89.173	1164.728	387.834	52.389	1350.904	432.611	32.508	1239.949
2058	6.85667	295.921	42.577	1241.936	461.693	153.857	1284.293	301.196	158.829	1318.748	356.461	88.902	1164.158	387.753	52.570	1350.391	432.884	32.207	1239.561
2059	6.86000	296.152	43.012	1241.048	462.173	153.679	1283.663	301.591	159.373	1317.400	357.259	88.657	1163.284	387.632	52.880	1349.812	433.199	31.976	1239.224
2060	6.86333	296.394	43.517	1240.076	462.632	153.505	1282.964	302.041	159.895	1316.091	357.976	88.387	1162.582	387.531	53.201	1349.158	433.550	31.747	1238.856
2061	6.86667	296.656	43.979	1239.106	463.108	153.335	1282.175	302.435	160.381	1314.609	358.731	88.066	1161.713	387.445	53.556	1348.490	433.852	31.538	1238.347
2062	6.87000	297.035	44.427	1238.151	463.667	153.207	1281.280	303.055	161.052	1313.269	359.473	87.749	1160.961	387.545	53.880	1347.723	434.179	31.343	1237.805
2063	6.87333	297.564	44.847	1237.211	464.249	153.099	1280.300	303.536	161.625	1311.665	360.250	87.441	1159.910	387.627	54.294	1346.882	434.600	31.114	1237.243
2064	6.87667	298.208	45.141	1236.125	464.818	153.033	1279.245	304.118	162.180	1310.112	361.068	87.131	1158.904	387.804	54.720	1346.084	435.112	30.936	1236.572
2065	6.88000	298.794	45.472	1235.109	465.423	152.992	1278.069	304.696	162.737	1308.453	361.765	86.890	1157.774	388.064	55.154	1345.187	435.565	30.767	1235.914
2066	6.88333	299.474	45.762	1234.085	466.036	152.953	1276.901	305.385	163.389	1306.934	362.471	86.572	1156.593	388.328	55.656	1344.310	436.089	30.588	1235.278
2067	6.88667	299.997	46.092	1232.920	466.678	153.008	1275.559	306.090	163.939	1305.258	363.163	86.272	1155.587	388.686	56.205	1343.234	436.536	30.533	1234.361
2068	6.89000	300.844	46.329	1231.840	467.376	153.075	1274.184	306.870	164.529	1303.636	364.065	85.981	1154.393	389.138	56.752	1342.280	437.018	30.508	1233.558
2069	6.89333	301.677	46.470	1230.710	468.134	153.164	1272.725	307.706	165.189	1302.027	364.820	85.721	1153.046	389.792	57.327	1340.826	437.692	30.411	1232.594
2070	6.89667	302.617	46.568	1229.434	468.910	153.287	1271.247	308.556	165.789	1300.379	365.652	85.467	1151.777	390.413	57.902	1339.700	438.439	30.318	1231.712
2071	6.90000	303.493	46.723	1228.203	469.703	153.429	1269.674	309.417	166.313	1298.686	366.602	85.133	1150.578	391.054	58.528	1338.525	439.022	30.343	1230.651
2072	6.90333	304.278	46.922	1227.056	470.464	153.593	1268.058	310.277	166.927	1297.035	367.405	84.862	1149.190	391.696	59.086	1337.309	439.174	32.400	1229.091
2073	6.90667	304.996	47.140	1225.909	471.270	153.774	1266.387	311.179	167.456	1295.370	368.198	84.570	1147.859	392.390	59.676	1336.090	439.967	32.196	1228.128
2074	6.91000	305.787	47.312	1224.638	472.118	153.963	1264.683	312.056	167.938	1293.595	369.046	84.254	1146.458	393.162	60.319	1334.767	440.635	32.331	1226.921
2075	6.91333	306.786	47.436	1223.434	473.006	154.201	1262.932	313.009	168.376	1291.917	369.939	83.964	1145.018	393.986	60.899	1333.424	441.497	32.496	1225.685
2076	6.91667	307.689	47.534	1222.234	473.907	154.441	1261.178	313.906	168.922	1290.097	370.920	83.666	1143.519	394.888	61.466	1332.117	442.422	32.541	1224.469
2077	6.92000	308.695	47.583	1220.885	474.772	154.674	1259.337	314.855	169.334	1288.359	371.896	83.382	1142.042	395.785	62.119	1330.674	443.330	32.536	1223.234
2078	6.92333	309.570	47.619	1219.574	475.632	154.928	1257.529	315.776	169.534	1286.504	372.806	83.115	1140.484	396.668	62.661	1329.295	444.248	32.547	1221.986
2079	6.92667	310.642	47.514	1218.166	476.480	155.203	1255.657	316.690	169.793	1284.560	373.875	82.777	1138.887	397.549	63.214	1327.833	445.133	32.548	1220.696
2080	6.93000	311.690	47.549	1216.599	477.295	155.472	1253.826	317.583	169.992	1282.589	375.082	82.371	1137.305	398.440	63.849	1326.254	446.209	32.556	1219.356
2081	6.93333	312.813	47.499	1215.021	478.231	155.693	1251.872	318.521	170.241	1280.581	376.288	81.981	1135.739	399.384	64.369	1324.732	447.300	32.572	1217.997
2082	6.93667	313.939	47.462	1213.519	479.153	155.934	1249.959	319.419	170.459	1278.489	377.445	81.505	1134.042	400.259	64.938	1323.079	448.394	32.577	1216.635
2083	6.94000	315.060	47.371	1211.803	480.041	156.214	1248.007	320.367	170.659	1276.418	378.658	81.116	1132.355	401.178	65.479	1321.510	449.432	32.566	1215.228
2084	6.94333	316.071	47.444	1210.215	480.895	156.455	1246.144	321.319	170.923	1274.308	379.793	80.788	1130.646	401.991	66.036	1319.829	450.472	32.591	1213.813
2085	6.94667	317.133	47.473	1208.498	481.799	156.659	1244.206	322.374	171.050	1272.155	380.981	80.469	1128.917	402.849	66.525	1318.202	451.829	31.541	1212.582
2086	6.95000	318.199	47.551	1206.698	482.857	156.760	1242.321	323.495	171.311	1270.114	382.242	80.175	1127.020	403.716	66.984	1316.433	453.006	31.222	1211.200
2087	6.95333	319.646	47.406	1204.908	483.967	156.778	1240.312	324.738	171.514	1267.927	383.587	79.852	1125.182	404.706	67.375	1314.661	453.705	32.570	1209.255
2088	6.95667	320.885	47.332	1202.946	485.186	156.725	1238.286	325.985	171.687	1265.734	385.051	79.392	1123.390	405.673	68.163	1312.784	455.003	32.270	1207.782
2089	6.96000	322.257	47.135	1201.183	486.387	156.629	1236.265	327.457	171.985	1263.578	386.506	78.790	1121.557	406.691	68.518	1311.019	456.196	32.090	1206.334
2090	6.96333	323.595	46.915	1199.246	487.710	156.406	1234.189	328.901	172.007	1261.134	387.971	78.108	1119.686	407.672	68.830	1309.312	457.322	31.850	1204.868
2091	6.96667	325.087	46.582	1197.260	489.075	156.059	1232.106	330.533	172.207	1258.577	389.520	77.288	1117.831	408.723	69.106	1307.598	458.579	31.507	1203.446
2092	6.97000	326.683	46.211	1195.350	490.560	155.690	1229.991	333.655	171.235	1254.939	391.182	76.375	1115.919	409.593	69.691	1305.785	460.265	30.011	1202.232
2093	6.97333	328.364	45.696	1193.080	492.115	155.258	1227.790	332.768	173.555	1253.419	393.133	75.234	1114.081	410.727	69.890	1304.036	461.881	28.972	1201.051
2094	6.97667	330.974	44.729	1190.460	493.744	154.726	1225.570	334.521	173.387	1250.350	395.150	73.963	1112.130	411.852	70.236	1302.138	463.414	28.093	1199.828
2095	6.98000	332.481	44.334	1188.469	495.429	154.166	1223.286	336.203	173.374	1246.743	397.256	72.559	1110.266	412.826	70.539	1300.399	465.005	27.165	1198.605
2096	6.98333	334.276	43.649	1186.207	497.192	153.521	1220.977	336.344	174.164	1238.492	399.457	71.042	1108.162	414.001	70.749	1298.535	466.606	26.276	1197.440
2097	6.98667	336.206	42.894	1184.021	499.047	152.769	1218.652	338.104	174.011	1234.846	401.750	69.251	1106.186	415.007	71.142	1296.640	468.243	25.321	1196.280
2098	6.99000	338.129	42.075	1181.613	501.027	151.931	1216.307	340.003	173.760	1231.207	404.182	67.439	1104.318	416.198	71.362	1294.734	469.921	24.267	1195.112
2099	6.99333	340.146	41.224	1179.481	503.108	150.935	1213.992	342.171	173.556	1227.307	406.869	65.388	1102.519	417.726	71.881	1292.090	471.793	23.117	1194.057
2100	6.99667	342.117	40.426	1177.337	505.306	149.878	1211.653	344.408	173.265	1223.593	409.656	63.324	1100.747	419.081	72.040	1290.093	473.667	21.904	1193.019
2101	7.00000	344.142	39.575	1175.054	507.443	149.160	1209.057	346.521	172.838	1219.834	412.307	61.343	1098.644	420.505	72.045	1288.130	475.624	20.618	1192.003
2102	7.00333	346.318	38.664	1172.869	509.837	147.873	1206.874	348.945	172.372	1216.138	415.181	59.101	1096.854	421.957	72.013	1286.127	477.529	19.350	1190.963
2103	7.00667	348.637	37.577	1170.662	512.270	146.744	1204.583	351.354	171.737	1212.459	418.138	56.800	1095.226	423.521	71.881	1284.155	479.486	18.010	1189.933
2104	7.01000	351.046	36.473	1168.353	514.919	145.298	1202.449	354.040	171.076	1208.765	421.229	54.519	1093.397	425.203	71.659	1282.171	481.551	16.557	1188.942
2105	7.01333	353.509	35.376	1166.110	517.713	143.705	1200.341	356.922	170.373	1205.207	424.288	52.312	1091.565	426.999	71.355	1280.207	483.854	14.951	1188.034
2106	7.01667	355.900	34.308	1164.124	520.572	142.052	1198.300	359.926	169.622	1201.728	427.531	49.936	1089.834	428.880	70.971	1278.258	486.160	13.276	1187.134
2107	7.02000	358.651	32.978	1161.952	523.416	140.305	1196.334	362.889	168.648	1198.272	430.730	47.511	1088.177	430.816	70.478	1276.348	488.432	11.611	1186.179
2108	7.02333	361.312	31.591	1159.841	526.372	138.509	1194.449	365.955	167.616	1194.904	434.118	45.009	1086.821	432.845	69.899	1274.470	490.729	9.930	1185.230
2109	7.02667	363.888	30.453	1157.944	529.341	136.684	1192.635	369.113	166.673	1191.829	437.281	42.740	1085.018	434.976	69.196	1272.603	493.054	8.244	1184.268
2110	7.03000	366.722	28.957	1155.920	532.437	134.694	1190.838	372.366	165.480	1188.711	440.564	40.312	1083.464	437.245	68.409	1270.782	495.543	6.387	1183.407
2111	7.03333	369.705	27.434	1153.921	535.687	132.630	1189.080	375.777	164.233	1185.570	443.964	37.725	1082.081	439.552	67.556	1269.004	498.071	4.453	1182.618
2112	7.03667	372.362	26.110	1152.236	538.987	130.449	1187.356	379.350	163.036	1182.624	447.525	35.095	1080.655	442.015	66.600	1267.257	500.665	2.511	1181.772
2113	7.04000	375.595	24.324	1150.284	542.260	128.300	1185.702	382.761	161.578	1179.774	450.824	32.708	1079.104	444.522	65.588	1265.554	503.295	0.539	1180.938
2114	7.04333	378.464	22.767	1148.584	545.614	126.607	1184.014	386.159	160.137	1177.008	454.254	29.999	1077.851	447.172	64.463	1263.857	505.942	-1.457	1180.117
2115	7.04667	381.625	21.069	1146.896	548.995	124.273	1182.390	389.807	158.587	1174.276	457.714	27.291	1076.532	449.858	63.263	1262.207	508.624	-3.633	1179.308
2116	7.05000	384.755	19.172	1145.134	552.527	121.880	1180.785	393.489	156.951	1171.668	461.076	24.696	1075.041	452.703	61.997	1260.585	511.441	-5.804	1178.462
2117	7.05333	387.886	17.418	1143.653	556.126	119.363	1179.151	397.174	155.351	1169.358	463.513	22.090	1072.688	455.637	60.673	1258.999	514.381	-8.070	1177.680
2118	7.05667	391.190	15.337	1142.191	559.828	116.743	1177.512	401.085	153.494	1166.812	467.112	19.162	1071.610	458.658	59.280	1257.473	517.347	-10.502	1176.943
2119	7.06000	394.455	13.352	1140.802	563.543	113.954	1175.890	405.160	151.617	1164.206	470.987	16.006	1070.916	461.759	57.849	1255.960	520.326	-12.926	1176.267
2120	7.06333	397.740	11.226	1139.425	567.243	111.138	1174.295	409.191	149.600	1161.619	474.794	12.767	1069.862	464.940	56.334	1254.478	523.361	-15.405	1175.592
2121	7.06667	401.225	8.923	1138.144	570.999	108.241	1172.709	413.133	147.505	1159.090	478.476	9.460	1068.981	468.200	54.800	1253.016	526.514	-17.311	1174.986
2122	7.07000	404.413	6.863	1137.147	574.906	105.208	1171.067	416.638	141.683	1158.207	482.196	6.007	1067.997	471.602	53.235	1251.658	529.670	-20.111	1174.445
2123	7.07333	408.060	4.301	1135.879	578.902	102.006	1169.463	421.247	140.220	1156.203	485.974	2.398	1067.187	475.047	51.526	1250.232	532.866	-22.760	1173.885
2124	7.07667	411.622	1.828	1134.950	582.993	98.734	1167.846	425.716	138.566	1153.935	489.706	-1.281	1066.383	478.652	49.854	1248.980	536.165	-25.631	1173.484
2125	7.08000	414.975	-0.543	1134.179	587.067	95.392	1166.266	430.150	136.323	1151.567	493.414	-5.043	1065.390	482.238	48.068	1247.690	539.378	-28.603	1173.126
2126	7.08333	418.542	-3.128	1133.334	591.210	91.886	1164.709	434.572	133.744	1149.234	497.040	-8.965	1064.835	485.942	46.218	1246.430	542.630	-31.658	1172.909
2127	7.08667	422.346	-5.912	1132.573	595.400	88.337	1163.254	439.205	131.165	1147.077	500.750	-12.951	1064.312	489.684	44.306	1245.280	545.888	-34.793	1172.738
2128	7.09000	425.911	-8.530	1131.960	599.759	84.594	1161.917	443.877	128.514	1144.951	504.532	-17.089	1064.014	493.814	42.304	1244.849	549.236	-37.965	1172.664
2129	7.09333	429.494	-11.154	1131.556	604.139	80.627	1160.698	448.558	125.735	1142.824	508.183	-21.257	1063.926	497.674	40.319	1243.787	552.649	-41.167	1172.692
2130	7.09667	433.120	-13.801	1131.221	608.661	76.940	1159.538	453.506	124.755	1141.498	511.947	-25.624	1064.252	501.684	38.266	1243.042	556.077	-44.460	1172.849
2131	7.10000	437.036	-16.783	1130.791	613.109	72.883	1158.627	458.171	121.804	1139.370	515.814	-30.079	1064.637	505.617	36.196	1242.228	559.505	-47.950	1173.206
2132	7.10333	440.830	-19.645	1130.535	617.504	69.380	1157.566	463.263	119.578	1137.830	519.609	-34.520	1064.934	509.540	33.994	1241.518	562.869	-51.350	1173.612
