FILE_VERSION	2.0.0
NO_OF_FRAMES	16296
NO_OF_CAMERAS	8
NO_OF_MARKERS	6
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-08-06, 08:59:33.376	5996.27357670
DATA_INCLUDED	3D
MARKER_NAMES	handball_6 - 1	handball_6 - 2	handball_6 - 3	handball_6 - 4	handball_6 - 5	handball_6 - 6
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	handball_6 - 1 Y	handball_6 - 1 X	handball_6 - 1 Z	handball_6 - 2 Y	handball_6 - 2 X	handball_6 - 2 Z	handball_6 - 3 Y	handball_6 - 3 X	handball_6 - 3 Z	handball_6 - 4 Y	handball_6 - 4 X	handball_6 - 4 Z	handball_6 - 5 Y	handball_6 - 5 X	handball_6 - 5 Z	handball_6 - 6 Y	handball_6 - 6 X	handball_6 - 6 Z	
1	0.00000	1031.741	-145.18	1049.036	1093.609	-319.596	1129.872	1140.741	-164.63	1135.198	1058.64	-226.744	991.747	1011.62	-215.336	1174.188	979.791	-273.751	1073.688
2	0.00333	1031.685	-144.727	1049.418	1093.451	-319.149	1130.165	1140.69	-164.265	1135.553	1058.531	-226.309	992.135	1011.566	-214.988	1174.484	979.688	-273.244	1074.061
3	0.00667	1031.355	-146.447	1052.381	1093.348	-318.786	1130.407	1140.572	-164.376	1136.714	1058.498	-225.585	992.422	1011.566	-214.424	1174.745	979.616	-272.622	1074.476
4	0.01000	1024.677	-147.495	1053.729	1093.255	-318.235	1130.668	1138.112	-162.336	1134.097	1053.605	-228.997	993.631	1011.67	-213.423	1175.103	979.536	-271.997	1074.861
5	0.01333	1024.735	-146.926	1054.120	1093.072	-317.767	1131.078	1138.107	-161.892	1134.640	1053.888	-228.243	993.814	1011.597	-212.924	1175.397	979.412	-271.352	1075.242
6	0.01667	1024.543	-146.481	1054.631	1092.903	-317.331	1131.545	1137.976	-161.321	1136.055	1055.791	-226.944	994.298	1011.656	-212.489	1175.782	979.166	-270.733	1075.599
7	0.02000	1024.47	-146.086	1054.940	1092.75	-316.778	1131.872	1137.998	-160.872	1136.284	1055.505	-226.568	994.848	1011.698	-211.891	1176.401	979.065	-270.171	1076.029
8	0.02333	1024.534	-145.592	1055.220	1092.623	-316.338	1132.207	1138.138	-160.513	1136.425	1055.273	-226.265	995.249	1011.771	-211.238	1176.854	978.939	-269.594	1076.498
9	0.02667	1024.818	-144.934	1055.429	1092.496	-315.851	1132.550	1138.283	-160.109	1136.709	1055.246	-225.641	995.518	1011.767	-210.647	1177.116	978.856	-269.003	1076.920
10	0.03000	1025.081	-144.175	1055.658	1092.337	-315.308	1132.942	1138.39	-159.64	1137.054	1055.278	-224.929	995.759	1011.72	-209.983	1177.422	978.692	-268.384	1077.374
11	0.03333	1024.558	-143.775	1056.391	1092.213	-314.771	1133.379	1138.182	-159.026	1137.491	1055.21	-224.419	996.115	1011.724	-209.423	1177.812	978.569	-267.738	1077.817
12	0.03667	1024.493	-143.238	1056.828	1092.067	-314.167	1133.837	1138.194	-158.493	1137.903	1055.181	-223.874	996.585	1011.766	-208.76	1178.452	978.414	-267.129	1078.334
13	0.04000	1024.506	-142.747	1057.191	1091.862	-313.844	1134.254	1138.311	-158.199	1138.105	1054.796	-223.62	997.182	1011.802	-208.07	1178.921	978.303	-266.519	1078.828
14	0.04333	1024.415	-142.314	1057.559	1091.726	-313.312	1134.618	1138.26	-157.708	1138.407	1054.625	-223.001	997.546	1011.802	-207.539	1179.290	978.147	-266.004	1079.266
15	0.04667	1024.819	-141.555	1057.774	1091.603	-312.678	1135.049	1138.416	-157.292	1138.618	1054.35	-222.543	997.895	1011.742	-206.923	1179.582	977.949	-265.35	1079.736
16	0.05000	1030.514	-138.24	1053.555	1091.447	-312.124	1135.560	1140.933	-158.038	1137.809	1054.194	-221.989	998.315	1011.704	-206.265	1180.137	977.981	-264.729	1080.408
17	0.05333	1024.189	-140.5	1059.018	1091.303	-311.514	1136.028	1138.179	-156.046	1139.536	1054.063	-221.477	998.961	1011.649	-205.518	1180.798	977.709	-264.053	1080.983
18	0.05667	1024.403	-139.802	1059.290	1091.044	-311.184	1136.465	1143.217	-162.1	1139.046	1054.015	-220.879	999.466	1011.623	-205.046	1181.243	977.542	-263.429	1081.534
19	0.06000	1023.726	-139.544	1060.121	1090.965	-310.498	1136.892	1143.222	-161.56	1139.576	1053.745	-220.343	999.825	1011.588	-204.566	1181.685	977.362	-262.778	1082.039
20	0.06333	1023.203	-139.203	1060.907	1090.794	-309.958	1137.432	1143.206	-160.91	1140.091	1053.441	-219.828	1000.160	1011.593	-203.988	1182.267	977.174	-262.155	1082.617
21	0.06667	1023.72	-138.372	1061.087	1090.565	-309.42	1138.023	1143.177	-160.435	1140.491	1053.221	-219.355	1000.858	1012.492	-205.105	1182.972	977.005	-261.496	1083.189
22	0.07000	1026.4	-136.7	1060.852	1090.352	-308.907	1138.446	1143.232	-160.019	1140.857	1053.015	-218.796	1001.462	1012.376	-204.315	1183.511	976.791	-260.803	1083.757
23	0.07333	1027.624	-135.523	1060.950	1090.125	-308.403	1138.907	1143.27	-159.618	1141.136	1052.907	-218.157	1001.917	1012.439	-203.713	1184.154	976.607	-260.081	1084.425
24	0.07667	1027.969	-134.743	1061.549	1089.978	-307.786	1139.480	1143.284	-159.17	1141.499	1052.748	-217.412	1002.243	1012.315	-202.334	1184.936	976.422	-259.405	1085.094
25	0.08000	1028.43	-134.009	1061.855	1089.78	-307.223	1140.026	1143.224	-158.553	1142.101	1052.267	-217.075	1003.032	1012.189	-201.431	1185.510	976.227	-258.724	1085.655
26	0.08333	1028.56	-133.417	1062.270	1089.596	-306.587	1140.524	1143.231	-157.96	1142.568	1052.03	-216.521	1003.672	1012.042	-200.391	1186.066	976.056	-258.066	1086.297
27	0.08667	1028.546	-132.679	1062.772	1089.321	-306.163	1141.026	1143.201	-157.486	1143.093	1051.866	-215.955	1004.121	1011.928	-199.463	1186.528	975.822	-257.328	1086.991
28	0.09000	1028.49	-132.01	1063.480	1089.137	-305.491	1141.602	1143.253	-157.079	1143.449	1051.794	-215.103	1004.461	1011.895	-198.669	1187.366	975.626	-256.587	1087.654
29	0.09333	1028.516	-131.235	1064.096	1088.955	-304.907	1142.160	1140.492	-151.87	1144.611	1051.321	-214.571	1005.308	1011.835	-198.025	1187.763	975.451	-255.864	1088.294
30	0.09667	1028.561	-130.509	1064.632	1088.72	-304.316	1142.661	1140.526	-151.439	1145.031	1050.937	-214.058	1006.072	1011.795	-197.452	1188.215	975.203	-255.112	1089.070
31	0.10000	1029.068	-129.851	1065.140	1088.452	-303.852	1143.149	1140.789	-151.183	1145.568	1050.975	-213.263	1006.361	1011.741	-196.647	1188.889	974.93	-254.339	1089.744
32	0.10333	1028.961	-129.287	1065.675	1088.233	-303.203	1143.773	1140.68	-150.609	1145.920	1050.464	-212.743	1006.884	1011.622	-195.892	1189.502	974.705	-253.679	1090.296
33	0.10667	1028.851	-128.68	1066.366	1087.991	-302.628	1144.334	1140.691	-150.113	1146.383	1050.069	-212.163	1007.686	1011.64	-195.168	1190.087	974.54	-252.92	1091.103
34	0.11000	1028.707	-127.95	1067.011	1087.872	-301.88	1144.819	1140.655	-149.457	1146.906	1049.944	-211.447	1008.317	1011.652	-194.476	1190.729	974.259	-252.074	1091.773
35	0.11333	1028.752	-127.175	1067.606	1087.467	-301.538	1145.323	1140.743	-149.171	1147.392	1049.682	-210.734	1008.723	1011.623	-193.796	1191.397	974.028	-251.285	1092.434
36	0.11667	1028.668	-126.433	1068.262	1087.223	-300.831	1145.835	1143.35	-153.066	1147.114	1049.281	-209.986	1009.403	1011.636	-193.163	1191.874	973.843	-250.518	1093.185
37	0.12000	1028.487	-125.913	1068.817	1087.037	-300.192	1146.444	1143.246	-152.349	1147.801	1048.784	-209.588	1010.143	1011.591	-192.362	1192.591	973.594	-249.744	1093.804
38	0.12333	1028.413	-125.192	1069.374	1086.789	-299.526	1146.899	1143.3	-151.948	1148.196	1048.678	-208.792	1010.601	1014.197	-187.544	1192.039	973.333	-248.958	1094.394
39	0.12667	1028.274	-124.582	1070.019	1086.503	-299.037	1147.321	1143.239	-151.422	1148.656	1048.398	-207.964	1010.944	1013.959	-187.206	1192.719	973.101	-248.156	1095.204
40	0.13000	1028.129	-123.75	1070.648	1086.256	-298.317	1147.862	1143.316	-151.07	1148.938	1047.928	-207.339	1011.773	1013.954	-186.528	1193.251	973.014	-247.328	1095.858
41	0.13333	1028.157	-122.928	1071.251	1085.995	-297.717	1148.451	1143.267	-150.451	1149.410	1047.744	-206.582	1012.427	1013.99	-185.821	1193.962	972.728	-246.499	1096.538
42	0.13667	1028.062	-122.135	1071.881	1085.781	-297.071	1148.835	1143.21	-149.844	1149.984	1047.529	-205.707	1012.820	1014.109	-184.812	1194.583	972.357	-245.733	1097.272
43	0.14000	1027.906	-121.573	1072.476	1085.385	-296.628	1149.316	1143.163	-149.228	1150.531	1047.13	-205.096	1013.212	1014.157	-183.928	1195.032	972.258	-244.894	1097.838
44	0.14333	1027.689	-120.855	1073.049	1085.17	-295.794	1149.667	1143.142	-148.753	1150.903	1046.529	-204.598	1014.046	1014.109	-183.346	1195.728	972.059	-244.065	1098.395
45	0.14667	1027.712	-120.071	1073.547	1084.969	-295.043	1150.118	1143.17	-148.224	1151.178	1046.326	-203.776	1014.566	1013.952	-182.843	1196.472	971.761	-243.183	1099.050
46	0.15000	1027.6	-119.174	1074.188	1084.58	-294.663	1150.721	1143.112	-147.707	1151.514	1046.061	-202.863	1014.938	1013.978	-182.037	1196.893	971.588	-242.326	1099.640
47	0.15333	1027.531	-118.425	1074.781	1084.261	-294.014	1151.019	1143.07	-147.182	1151.897	1045.88	-202.069	1015.340	1013.941	-181.135	1197.386	971.341	-241.403	1100.235
48	0.15667	1027.369	-117.609	1075.328	1084.048	-293.184	1151.344	1143.0	-146.526	1152.330	1045.511	-201.344	1016.001	1013.893	-180.366	1197.989	971.156	-240.597	1100.769
49	0.16000	1027.244	-116.891	1075.829	1083.774	-292.587	1151.696	1142.954	-145.912	1152.658	1044.854	-200.713	1016.504	1013.826	-179.717	1198.549	970.96	-239.755	1101.313
50	0.16333	1027.074	-116.221	1076.258	1083.434	-291.93	1152.116	1142.889	-145.34	1153.032	1044.532	-200.05	1016.948	1013.689	-179.133	1199.017	970.643	-238.88	1101.777
51	0.16667	1026.905	-115.589	1076.632	1083.081	-291.287	1152.510	1141.638	-139.862	1151.574	1044.308	-199.254	1017.142	1013.649	-178.195	1199.371	970.444	-238.076	1102.215
52	0.17000	1026.699	-114.912	1076.977	1082.853	-290.474	1152.799	1141.53	-139.157	1151.747	1043.825	-198.422	1017.640	1013.602	-177.373	1199.837	970.123	-237.132	1102.646
53	0.17333	1026.498	-114.287	1077.267	1082.481	-289.978	1153.069	1142.638	-143.567	1153.718	1043.669	-197.505	1018.014	1013.489	-176.675	1200.407	969.744	-236.225	1103.132
54	0.17667	1027.763	-110.169	1080.489	1082.162	-289.155	1153.321	1142.489	-142.843	1154.097	1043.48	-196.643	1018.411	1013.287	-176.118	1200.782	969.463	-235.403	1103.514
55	0.18000	1025.844	-112.738	1077.492	1081.875	-288.403	1153.433	1142.37	-142.255	1154.408	1042.754	-196.039	1018.806	1013.288	-175.041	1200.998	969.191	-234.577	1103.869
56	0.18333	1025.545	-112.286	1077.537	1081.52	-287.767	1153.656	1142.285	-141.556	1154.550	1042.696	-195.115	1018.950	1013.119	-174.242	1201.287	968.863	-233.671	1104.147
57	0.18667	1025.274	-111.477	1077.673	1081.141	-287.012	1153.929	1142.173	-140.996	1154.661	1042.26	-194.353	1019.170	1013.032	-173.525	1201.616	968.488	-232.738	1104.470
58	0.19000	1027.201	-106.801	1081.872	1080.779	-286.245	1154.204	1142.063	-140.422	1154.781	1041.904	-193.395	1019.493	1012.808	-172.69	1201.970	968.12	-231.757	1104.747
59	0.19333	1026.973	-106.066	1082.135	1080.39	-285.492	1154.383	1141.942	-139.768	1155.021	1041.811	-192.403	1019.738	1012.768	-171.568	1202.201	967.772	-230.769	1104.947
