FILE_VERSION	2.0.0
NO_OF_FRAMES	16296
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-08-06, 08:59:33.376	5996.27357670
DATA_INCLUDED	6D
BODY_NAMES	handball_6
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	handball_6 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00000	224.20999	1052.66577	1092.28977	-44.64888	-45.57045	144.89195	1.30496	-0.57267	-0.00139	-0.81978	-0.40260	-0.87062	0.28272	-0.71411	0.49195	0.49802	
2	0.00333	223.78370	1052.58031	1092.63779	-44.66230	-45.53495	144.88641	1.29139	-0.57300	-0.00125	-0.81956	-0.40291	-0.87038	0.28303	-0.71368	0.49238	0.49822	
3	0.00667	224.11749	1051.27373	1092.27234	-46.33164	-46.26274	144.12869	1.11651	-0.56023	-0.01891	-0.82812	-0.40511	-0.86577	0.29382	-0.72252	0.50009	0.47737	
4	0.01000	223.71729	1050.17793	1093.68895	-45.46423	-46.55384	145.56755	2.10006	-0.56719	-0.03027	-0.82303	-0.38883	-0.87109	0.30001	-0.72602	0.49018	0.48230	
5	0.01333	223.22220	1050.08346	1094.03441	-45.56624	-46.50272	145.46895	2.10181	-0.56705	-0.02988	-0.82314	-0.39018	-0.87036	0.30038	-0.72541	0.49150	0.48188	
6	0.01667	222.74590	1049.99525	1094.46670	-45.57082	-46.46572	145.46509	2.17276	-0.56741	-0.02963	-0.82290	-0.39048	-0.87016	0.30057	-0.72496	0.49187	0.48217	
7	0.02000	222.03837	1050.27636	1095.06820	-44.99016	-46.38519	145.68369	2.27781	-0.56974	-0.02405	-0.82147	-0.38889	-0.87269	0.29526	-0.72399	0.48768	0.48785	
8	0.02333	221.58981	1050.21372	1095.40768	-45.26141	-46.36489	145.48413	2.25307	-0.56859	-0.02476	-0.82225	-0.39101	-0.87128	0.29663	-0.72375	0.49017	0.48572	
9	0.02667	221.03426	1050.24014	1095.70600	-45.35815	-46.29760	145.36023	2.17746	-0.56844	-0.02379	-0.82238	-0.39273	-0.87050	0.29664	-0.72294	0.49159	0.48549	
10	0.03000	220.40515	1050.24682	1096.03471	-45.42270	-46.22697	145.24405	2.10607	-0.56838	-0.02246	-0.82246	-0.39438	-0.86987	0.29630	-0.72209	0.49277	0.48556	
11	0.03333	219.85910	1050.07521	1096.50102	-45.39614	-46.25086	145.32468	2.26162	-0.56868	-0.02347	-0.82222	-0.39341	-0.87009	0.29694	-0.72237	0.49233	0.48557	
12	0.03667	219.27648	1050.01991	1096.98979	-45.47609	-46.23681	145.25847	2.28584	-0.56837	-0.02351	-0.82243	-0.39417	-0.86963	0.29727	-0.72220	0.49314	0.48501	
13	0.04000	218.83237	1049.93087	1097.41347	-45.71621	-46.19146	145.06250	2.26718	-0.56749	-0.02366	-0.82304	-0.39644	-0.86824	0.29831	-0.72166	0.49558	0.48334	
14	0.04333	218.31242	1049.82986	1097.78107	-45.77309	-46.17823	145.04193	2.26910	-0.56749	-0.02408	-0.82303	-0.39674	-0.86789	0.29894	-0.72150	0.49617	0.48296	
15	0.04667	217.72324	1049.81318	1098.10893	-45.95329	-46.11869	144.84398	2.15929	-0.56672	-0.02325	-0.82358	-0.39913	-0.86673	0.29911	-0.72078	0.49823	0.48192	
16	0.05000	216.89779	1051.12841	1097.63061	-47.08413	-45.56791	143.09331	0.97320	-0.55978	-0.00926	-0.82859	-0.42040	-0.85852	0.29361	-0.71408	0.51269	0.47669	
17	0.05333	216.51822	1049.51506	1099.22042	-46.07301	-46.14928	144.82166	2.27862	-0.56625	-0.02485	-0.82386	-0.39913	-0.86627	0.30046	-0.72115	0.49896	0.48061	
18	0.05667	217.07325	1050.30717	1099.50741	-47.44983	-44.96320	143.60391	2.49535	-0.56954	-0.01778	-0.82177	-0.41984	-0.85322	0.30944	-0.70665	0.52125	0.47848	
19	0.06000	216.54807	1050.10126	1100.02309	-47.46063	-44.98073	143.70856	2.65700	-0.57013	-0.01962	-0.82132	-0.41867	-0.85322	0.31101	-0.70687	0.52118	0.47823	
20	0.06333	216.00706	1049.90193	1100.57912	-47.52376	-44.99677	143.74475	2.75719	-0.57024	-0.02118	-0.82121	-0.41819	-0.85295	0.31239	-0.70707	0.52156	0.47753	
21	0.06667	215.69711	1050.02994	1101.10340	-47.57767	-44.86331	143.85002	2.57183	-0.57233	-0.02254	-0.81971	-0.41812	-0.85190	0.31536	-0.70542	0.52322	0.47814	
22	0.07000	214.92329	1050.36088	1101.48083	-47.81970	-44.58168	143.33308	2.02189	-0.57131	-0.01625	-0.82057	-0.42533	-0.84921	0.31295	-0.70193	0.52780	0.47825	
23	0.07333	214.24937	1050.49534	1101.91487	-48.01924	-44.40639	143.05194	1.79368	-0.57093	-0.01365	-0.82089	-0.42942	-0.84722	0.31275	-0.69974	0.53106	0.47784	
24	0.07667	213.47504	1050.45245	1102.46701	-48.22267	-44.33463	142.81973	1.75450	-0.56988	-0.01260	-0.82163	-0.43226	-0.84577	0.31279	-0.69885	0.53341	0.47654	
