FILE_VERSION	2.0.0
NO_OF_FRAMES	16296
NO_OF_CAMERAS	8
NO_OF_MARKERS	6
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-08-06, 08:59:33.376	5996.27357670
DATA_INCLUDED	3D
MARKER_NAMES	handball_6 - 1	handball_6 - 2	handball_6 - 3	handball_6 - 4	handball_6 - 5	handball_6 - 6
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	handball_6 - 1 X	handball_6 - 1 Y	handball_6 - 1 Z	handball_6 - 2 X	handball_6 - 2 Y	handball_6 - 2 Z	handball_6 - 3 X	handball_6 - 3 Y	handball_6 - 3 Z	handball_6 - 4 X	handball_6 - 4 Y	handball_6 - 4 Z	handball_6 - 5 X	handball_6 - 5 Y	handball_6 - 5 Z	handball_6 - 6 X	handball_6 - 6 Y	handball_6 - 6 Z	
1	0.00000	145.180	1031.741	1049.036	319.596	1093.609	1129.872	164.630	1140.741	1135.198	226.744	1058.640	991.747	215.336	1011.620	1174.188	273.751	979.791	1073.688
2	0.00333	144.727	1031.685	1049.418	319.149	1093.451	1130.165	164.265	1140.690	1135.553	226.309	1058.531	992.135	214.988	1011.566	1174.484	273.244	979.688	1074.061
3	0.00667	146.447	1031.355	1052.381	318.786	1093.348	1130.407	164.376	1140.572	1136.714	225.585	1058.498	992.422	214.424	1011.566	1174.745	272.622	979.616	1074.476
4	0.01000	147.495	1024.677	1053.729	318.235	1093.255	1130.668	162.336	1138.112	1134.097	228.997	1053.605	993.631	213.423	1011.670	1175.103	271.997	979.536	1074.861
5	0.01333	146.926	1024.735	1054.120	317.767	1093.072	1131.078	161.892	1138.107	1134.640	228.243	1053.888	993.814	212.924	1011.597	1175.397	271.352	979.412	1075.242
6	0.01667	146.481	1024.543	1054.631	317.331	1092.903	1131.545	161.321	1137.976	1136.055	226.944	1055.791	994.298	212.489	1011.656	1175.782	270.733	979.166	1075.599
7	0.02000	146.086	1024.470	1054.940	316.778	1092.750	1131.872	160.872	1137.998	1136.284	226.568	1055.505	994.848	211.891	1011.698	1176.401	270.171	979.065	1076.029
8	0.02333	145.592	1024.534	1055.220	316.338	1092.623	1132.207	160.513	1138.138	1136.425	226.265	1055.273	995.249	211.238	1011.771	1176.854	269.594	978.939	1076.498
9	0.02667	144.934	1024.818	1055.429	315.851	1092.496	1132.550	160.109	1138.283	1136.709	225.641	1055.246	995.518	210.647	1011.767	1177.116	269.003	978.856	1076.920
10	0.03000	144.175	1025.081	1055.658	315.308	1092.337	1132.942	159.640	1138.390	1137.054	224.929	1055.278	995.759	209.983	1011.720	1177.422	268.384	978.692	1077.374
11	0.03333	143.775	1024.558	1056.391	314.771	1092.213	1133.379	159.026	1138.182	1137.491	224.419	1055.210	996.115	209.423	1011.724	1177.812	267.738	978.569	1077.817
12	0.03667	143.238	1024.493	1056.828	314.167	1092.067	1133.837	158.493	1138.194	1137.903	223.874	1055.181	996.585	208.760	1011.766	1178.452	267.129	978.414	1078.334
13	0.04000	142.747	1024.506	1057.191	313.844	1091.862	1134.254	158.199	1138.311	1138.105	223.620	1054.796	997.182	208.070	1011.802	1178.921	266.519	978.303	1078.828
14	0.04333	142.314	1024.415	1057.559	313.312	1091.726	1134.618	157.708	1138.260	1138.407	223.001	1054.625	997.546	207.539	1011.802	1179.290	266.004	978.147	1079.266
15	0.04667	141.555	1024.819	1057.774	312.678	1091.603	1135.049	157.292	1138.416	1138.618	222.543	1054.350	997.895	206.923	1011.742	1179.582	265.350	977.949	1079.736
16	0.05000	138.240	1030.514	1053.555	312.124	1091.447	1135.560	158.038	1140.933	1137.809	221.989	1054.194	998.315	206.265	1011.704	1180.137	264.729	977.981	1080.408
17	0.05333	140.500	1024.189	1059.018	311.514	1091.303	1136.028	156.046	1138.179	1139.536	221.477	1054.063	998.961	205.518	1011.649	1180.798	264.053	977.709	1080.983
18	0.05667	139.802	1024.403	1059.290	311.184	1091.044	1136.465	162.100	1143.217	1139.046	220.879	1054.015	999.466	205.046	1011.623	1181.243	263.429	977.542	1081.534
19	0.06000	139.544	1023.726	1060.121	310.498	1090.965	1136.892	161.560	1143.222	1139.576	220.343	1053.745	999.825	204.566	1011.588	1181.685	262.778	977.362	1082.039
20	0.06333	139.203	1023.203	1060.907	309.958	1090.794	1137.432	160.910	1143.206	1140.091	219.828	1053.441	1000.160	203.988	1011.593	1182.267	262.155	977.174	1082.617
21	0.06667	138.372	1023.720	1061.087	309.420	1090.565	1138.023	160.435	1143.177	1140.491	219.355	1053.221	1000.858	205.105	1012.492	1182.972	261.496	977.005	1083.189
22	0.07000	136.700	1026.400	1060.852	308.907	1090.352	1138.446	160.019	1143.232	1140.857	218.796	1053.015	1001.462	204.315	1012.376	1183.511	260.803	976.791	1083.757
23	0.07333	135.523	1027.624	1060.950	308.403	1090.125	1138.907	159.618	1143.270	1141.136	218.157	1052.907	1001.917	203.713	1012.439	1184.154	260.081	976.607	1084.425
24	0.07667	134.743	1027.969	1061.549	307.786	1089.978	1139.480	159.170	1143.284	1141.499	217.412	1052.748	1002.243	202.334	1012.315	1184.936	259.405	976.422	1085.094
25	0.08000	134.009	1028.430	1061.855	307.223	1089.780	1140.026	158.553	1143.224	1142.101	217.075	1052.267	1003.032	201.431	1012.189	1185.510	258.724	976.227	1085.655
26	0.08333	133.417	1028.560	1062.270	306.587	1089.596	1140.524	157.960	1143.231	1142.568	216.521	1052.030	1003.672	200.391	1012.042	1186.066	258.066	976.056	1086.297
27	0.08667	132.679	1028.546	1062.772	306.163	1089.321	1141.026	157.486	1143.201	1143.093	215.955	1051.866	1004.121	199.463	1011.928	1186.528	257.328	975.822	1086.991
28	0.09000	132.010	1028.490	1063.480	305.491	1089.137	1141.602	157.079	1143.253	1143.449	215.103	1051.794	1004.461	198.669	1011.895	1187.366	256.587	975.626	1087.654
29	0.09333	131.235	1028.516	1064.096	304.907	1088.955	1142.160	151.870	1140.492	1144.611	214.571	1051.321	1005.308	198.025	1011.835	1187.763	255.864	975.451	1088.294
30	0.09667	130.509	1028.561	1064.632	304.316	1088.720	1142.661	151.439	1140.526	1145.031	214.058	1050.937	1006.072	197.452	1011.795	1188.215	255.112	975.203	1089.070
31	0.10000	129.851	1029.068	1065.140	303.852	1088.452	1143.149	151.183	1140.789	1145.568	213.263	1050.975	1006.361	196.647	1011.741	1188.889	254.339	974.930	1089.744
32	0.10333	129.287	1028.961	1065.675	303.203	1088.233	1143.773	150.609	1140.680	1145.920	212.743	1050.464	1006.884	195.892	1011.622	1189.502	253.679	974.705	1090.296
33	0.10667	128.680	1028.851	1066.366	302.628	1087.991	1144.334	150.113	1140.691	1146.383	212.163	1050.069	1007.686	195.168	1011.640	1190.087	252.920	974.540	1091.103
34	0.11000	127.950	1028.707	1067.011	301.880	1087.872	1144.819	149.457	1140.655	1146.906	211.447	1049.944	1008.317	194.476	1011.652	1190.729	252.074	974.259	1091.773
35	0.11333	127.175	1028.752	1067.606	301.538	1087.467	1145.323	149.171	1140.743	1147.392	210.734	1049.682	1008.723	193.796	1011.623	1191.397	251.285	974.028	1092.434
36	0.11667	126.433	1028.668	1068.262	300.831	1087.223	1145.835	153.066	1143.350	1147.114	209.986	1049.281	1009.403	193.163	1011.636	1191.874	250.518	973.843	1093.185
